Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
ITA,2015-05-01,2015-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2015,2015,,100.183800,X,base year is 2015
ITA,2016-05-01,2016-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2016,2016,,100.400000,X,base year is 2015
ITA,2017-05-01,2017-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2017,2017,,102.300000,X,base year is 2015
ITA,2018-05-01,2018-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2018,2018,,104.200000,X,base year is 2015
ITA,2019-05-01,2019-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2019,2019,,104.600000,X,base year is 2015
ITA,2020-05-01,2020-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2020,2020,,107.300000,X,base year is 2015
ITA,2021-05-01,2021-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2021,2021,,106.500000,X,base year is 2015
ITA,2022-05-01,2022-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2022,2022,,114.400000,X,base year is 2015
ITA,2023-05-01,2023-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2023,2023,,127.900000,X,base year is 2015
ITA,2000-06-01,2000-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2000,2000,,71.991980,X,base year is 2015
ITA,2001-06-01,2001-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2001,2001,,75.133690,X,base year is 2015
ITA,2002-06-01,2002-06-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2002,2002,,77.606950,X,base year is 2015
